#{"t_start": 1593112210.273086, "env_id": "AntBulletEnv-v0"}
r,l,t
309.019404,1000,1.854374
459.436749,1000,2.807923
500.253357,1000,3.744318
557.328125,1000,4.68343
4.763043,21,4.701439
474.108535,1000,5.643755
80.839064,153,5.784986
525.012893,1000,6.754768
493.306941,1000,7.715998
502.876527,1000,8.67731
519.243807,1000,9.641884
485.270372,1000,12.942168
490.942709,1000,26.246258
477.361736,1000,37.611346
44.634004,122,39.052137
464.481522,1000,52.339109
477.557315,908,63.739762
156.147067,366,68.410216
163.748247,373,73.293466
3.816702,21,73.574008
74.491695,193,76.156459
4.874402,20,76.422194
75.252545,182,78.835508
11.320026,52,79.53113
9.050665,46,80.157564
30.277357,72,81.1145
434.205857,1000,94.470794
399.112507,1000,107.537766
397.37872,1000,120.162229
420.465246,1000,133.466172
390.301578,836,144.603331
7.478448,23,144.917345
4.04365,20,145.18403
3.017363,24,145.504262
52.316058,116,147.045585
387.08968,1000,160.455766
76.315645,435,166.306678
322.479935,1000,179.175926
409.701103,1000,192.562362
421.470071,1000,206.473016
395.347856,1000,220.328701
397.171171,846,232.06384
416.351941,1000,245.364306
395.892929,1000,259.307264
232.908617,1000,273.17259
488.168495,1000,287.034369
567.69277,1000,301.431986
515.377786,1000,315.893554
233.930036,620,324.908836
2.093506,21,325.214479
4.451518,27,325.601043
8.490235,27,325.994866
-0.826747,21,326.299327
2.954929,20,326.58831
173.190598,312,331.114031
-1.226943,21,331.425179
1.073955,20,331.714886
19.37471,66,332.671571
-2.512422,20,332.958821
-2.403768,20,333.255501
-0.045264,20,333.548264
6.473923,25,333.907637
592.636202,1000,348.002523
441.600201,1000,363.650689
629.617956,1000,379.553655
31.084499,56,380.437401
204.86423,1000,396.374875
491.905598,1000,411.125616
495.788944,1000,426.048618
580.411543,1000,441.190046
553.839179,1000,456.330898
458.940833,1000,471.536246
451.896484,1000,486.512289
422.472944,966,501.167056
532.659992,1000,516.297873
550.745129,1000,531.446161
473.670217,1000,546.509768
504.93919,1000,561.672499
611.560248,1000,576.274246
441.906604,1000,591.50253
572.113649,1000,606.633729
560.134964,1000,621.78399
32.791902,81,622.664613
7.905476,29,623.066524
325.589651,501,630.649947
4.017233,22,630.982915
566.919637,1000,646.145551
477.164476,1000,661.721335
572.181737,1000,676.55359
566.163294,1000,691.69639
474.647161,1000,706.854743
536.531462,1000,721.852834
536.193175,1000,736.973913
500.161016,1000,752.070012
374.571821,1000,767.276938
482.603171,1000,782.243403
581.517442,1000,797.361298
362.711022,1000,812.503815
596.396293,1000,827.666081
562.77616,1000,842.626793
594.47572,1000,857.794796
607.016182,1000,872.411275
503.693531,1000,887.385446
542.831787,1000,902.821883
312.597877,1000,918.05635
487.538419,885,931.491245
208.040797,410,937.722549
148.016192,237,941.332619
625.42948,1000,956.319789
553.815283,1000,971.516534
559.459631,1000,987.173012
